ISBN,TITLE,AUTHOR,PUBLISHER,YEAR
9784776402787,アンネ・フランク : 短い生涯を日記に残した少女,アン・クレイマー,BL出版,2008,Not Found
9784101293714,アメリカはなぜイスラエルを偏愛するのか,佐藤唯行,新潮社,2009,Not Found
4480087931,モーセと一神教,ジークムント・フロイト,筑摩書房,2003,Not Found
9784065246269,我と汝,マルティン・ブーバー,講談社,2021,Not Found
9784895862288,コヘレト・エステル記,ミルトス・ヘブライ文化研究所,ミルトス,2017,Not Found
9784779125812,ユダヤ世界に魅せられて 増補版,広瀬佳司,彩流社,2019,Not Found
404704167X,日本人とユダヤ人,山本七平,角川書店,2004,Not Found
9784990808198,ユダヤの『タルムード』 : 世界攪亂の律法,デ・グラッベ,ともはつよし社,2015,Not Found
4882741393,アラブ人でもなくイスラエル人でもなく : 平和の架け橋となったパレスチナ人牧師,リア・アブ・エル=アサール,聖公会出版,2004,Not Found
9784805648162,聖誕教会包囲の真相 : 2002年ベトレヘム聖誕教会におけるパレスチナゲリラとイスラエル軍,"ジュゼッペ・ボナボロンタ,",サンパウロ,2003,Not Found
9784779110085,「戦争映画」が教えてくれる現代史の読み方 : キーワードはユダヤ人問題,福井次郎,彩流社,2007,Not Found
4784302077,舞姫 : エリス、ユダヤ人論,荻原雄一,至文堂,2001,"Held in Harvard-Yenching Library, Harvard University"
9784865781069,竹山道雄セレクション 2,竹山道雄,藤原書店,2017,Not Found
9784764261655,旧約聖書における自然・歴史・王権,山我哲雄,教文館,2022,Not Found
4198611440,聖書に隠された日本・ユダヤ封印の古代史 2 (仏教・景教篇),"久保有政,",徳間書店,2000,Not Found
4591074234,きれいな絵なんかなかった : こどもの日々、戦争の日々,アニタ・ローベル,ポプラ社,2002,Not Found
9784337038011,海をわたったビスク・ドール,ジョーン・ホルブ,国土社,2014,Not Found
9784588151095,アーレント読本,日本アーレント研究会,法政大学出版局,2020,Not Found
9784309245379,自由であるということ : 旧約聖書を読む,エーリッヒ・フロム,河出書房新社,2010,Not Found
9784876988464,異教徒ローマ人に語る聖書 : 創世記を読む,秦剛平,京都大学学術出版会,2009,Not Found
4796627626,ビンラディンのイスラム教とユダヤ教、キリスト教,神辺四郎,宝島社,2002,Not Found
9784806805830,イラン・パペ、パレスチナを語る : 「民族浄化」から「橋渡しのナラティヴ」へ,イラン・パペ,柘植書房新社,2008,Not Found
9784750329031,ユダヤ教・キリスト教・イスラームは共存できるか : 一神教世界の現在,森孝一,明石書店,2008,Not Found
9784791765126,ホロコーストからガザへ : パレスチナの政治経済学,サラ・ロイ,青土社,2009,Not Found
9784794967176,カーター、パレスチナを語る : アパルトヘイトではなく平和を,ジミー・カーター,晶文社,2008,Not Found
4890138900,シャガール : わたしが画家になったわけ,ビンバ・ランドマン,西村書店,2006,Not Found
4400307514,ヘブライ人とギリシヤ人の思惟,トーレイフ・ボーマン,新教出版社,2003,Not Found
4763404571,ドイツ人女性たちの<誠実> : ナチ体制下ベルリン・ローゼンシュトラーセの静かなる抗議,幸津國生,花伝社,2005,Not Found
4797453605,聖地旅行 : ローマ・エジプト・イスラエル・ヨルダン,山田みち子,新風舎,2004,Not Found
4479300201,ユダヤ教vsキリスト教vsイスラム教 : 「宗教衝突」の深層,一条真也,大和書房,2006,"Held in Harvard-Yenching Library, Harvard University"
4831820547,ユダヤ・キリスト・イスラーム・親鸞,狐野利久,法藏館,2003,"Held in Harvard-Yenching Library, Harvard University"
9784779115288,カフカの〈中国〉と同時代言説 : 黄禍・ユダヤ人・男性同盟,川島隆,彩流社,2010,Not Found
9784271117681,ソール・ベロー研究 : 人間像と生き方の探求,半田拓也,大阪教育図書,2007,Not Found
9784001156508,賢者ナータンと子どもたち,ミリヤム・プレスラー,岩波書店,2011,Not Found
4944024886,パレスチナ問題研究序説 : 国連の分割決議成立過程と紛争の激化-1945～51年,木村申二,丸善プラネット,2000,Not Found
9784121021120,パレスチナ : 聖地の紛争,船津靖,中央公論新社,2011,Not Found
nan,ヒトラー・ホロコースト神話検証,木村愛二,木村書店,2006,Not Found
9784908830068,神道から観たヘブライ研究三部書 : 言霊学事始,小笠原孝次,和器出版,2017,Not Found
9784864711876,日本史超どんでん返し : 世界文明の玉手箱《沖縄》から飛び出す : 琉球は「ヘブライ」なり「平家」なり「マヤ・インカ」なり,"飛鳥昭雄,",ヒカルランド,2014,Not Found
4877311807,日本語-セム語族比較辞典 : 日本語・アッカド語・アラム語・ヘブライ語対照辞典、シュメール語付,飯島紀,国際語学社,2003,"Held in Harvard-Yenching Library, Harvard University"
